pr,skip,identifiers,comment,vin
23331,country-uk,e886087f430e7fe7|2023-06-16--23-06-36,"2019 Ford Focus, Zetec, Gasoline 1.0L, Manual",WF0NXXGCHNJR69712
31145,,83a4e056c7072678/2023-11-13--16-51-33,2022 Ford Mustang Mach-E,3FMTK3SU0MMA25827
28792,,2fcac3771f8c0ef5|2023-07-02--15-45-47,2022 Ford Explorer,1FMSK8DH0NGB42733
28744,,a4218e6416dfd978|2023-06-29--07-09-59,"2021 Ford Escape, Titanium, Gasoline 2.0L, Automatic",1FMCU9J94MUA57671
28494,,0b91b433b9332780|2023-06-05--14-02-57,2020 Lincoln Aviator,5LM5J7XC9LGL15606
28205,,4458bd61cf193dab|2023-05-15--20-41-08--0,2020 Ford Explorer ST,1FM5K8GC7LGA15147
27781,,bd37e43731e5964b|2023-04-01--15-13-06--0,2023 Ford Maverick Lariat Lux,3FTTW8E31PRA18806
27502,,1493c38de09a381a|2023-03-05--21-10-07--0,2020 Ford Explorer Limited,1FMSK8FH6LGB17698
27382,,6cffc47c251aa36c|2023-02-17--18-17-14,2020 Ford Escape PHEV,1FMCU0EZ0NUB76728
27165,,debd2ff7dc9ab358|2022-10-31--15-04-08--0,2021 F-150,1FTFW1ED6MFC11958
27095,,f0709d2bc6ca451f|2022-12-10--12-36-59--0,2021 Lincoln Aviator,5LM5J7XC8MGL09541
27098,,933ad9d04ac82693|2023-01-04--17-31-33--0,2022 Ford Maverick XLT,3FTTW8E39NRB00148
26251,,8e1bab39e558e773|2022-09-16--02-38-57--0,2022 Explorer,1FM5K8GC7NGA85105
26251,,f8eaaccd2a90aef8|2022-09-30--15-42-38--0,2021 Escape Titanium PHEV,1FMCU0LZXMUA80767
26251,,"26b2cace68e36212|2022-10-05--18-55-54--0,2631ea836ece842e|2023-06-14--10-08-06",2020 Ford Escape,1FMCU9DZ9LUA82589
unknown,,54827bf84c38b14f|2023-01-23--14-58-23--0,2022 Bronco Sport,3FMCR9B69NRD15990
unknown,,62241b0c7fea4589|2022-10-25--13-40-05--0,2021 Bronco Sport,3FMCR9B61MRA17853
27093,,a6427650bff6b419|2022-09-19--10-51-30,2022 Maverick,3FTTW8E36NRA74219
27093,,c845bd8c366e6f3d|2022-12-03--18-57-00--0,2022 Maverick,3FTTW8F98NRA75889
,,,2022 Ford Explorer XLT,1FMSK8DH1NGA52944
,,,2021 Ford Explorer XLT,1FMSK8DH7MGC46036
,,,2021 Ford Explorer XLT,1FMSK8DH9MGB42406
,,,2022 Ford Explorer XLT,1FMSK8DH4NGA87686
,,,2021 Ford Explorer XLT,1FMSK8DH8MGA39221
,,,2022 Ford Explorer XLT,1FMSK8DH3NGA52377
,,,2020 Ford Explorer XLT,1FMSK8DH1LGB19569
,,,2022 Ford Explorer XLT,1FMSK8DH8NGA60359
,,,2022 Ford Explorer XLT,1FMSK8DH7NGB18820
,,,2020 Ford Explorer XLT,1FMSK8DH9LGB14815
,,,2022 Ford Explorer XLT,1FMSK8DH6NGB18355
,,,2022 Ford Explorer Limited,1FMSK8FH7NGA39693
,,,2023 Ford Explorer Limited RWD,1FMSK7FHXPGA86567
,,,2022 Ford Explorer XLT,1FMSK8DH0NGA71727
,,,2020 Ford Explorer XLT,1FMSK8DH9LGC24909
,,,2020 Ford Explorer XLT 4WD,1FMSK8DH9LGB63898
,,,2022 Ford Explorer XLT,1FMSK8DH6NGB07064
,,,2022 Ford Explorer XLT,1FMSK8DH9NGB20164
,,,2022 Ford Explorer XLT,1FMSK8DH0NGA52109
,,,2019 Ford Explorer XLT,1FM5K8D83KGA27066
,,,2021 Ford Explorer Limited 4WD,1FMSK8FH9MGA85086
,,,2020 Ford Explorer XLT,1FMSK8DH1LGB40518
,,,2020 Ford Explorer XLT,1FMSK8DH1LGD04611
,,,2020 Ford Explorer XLT,1FMSK8DHXLGB61691
,,,2020 Ford Explorer XLT,1FMSK8DHXLGA77872
,,,2020 Ford Explorer ST,1FM5K8GC0LGA77814
,,,2021 Ford Explorer Limited,1FMSK8FH2MGB36895
,,,2021 Ford Explorer Limited,1FMSK8FHXMGB54965
,,,2021 Ford Explorer Limited,1FMSK8FH2MGB07817
,,,2021 Ford Explorer Limited,1FMSK8FH8MGB37288
,,,2020 Ford Explorer XLT,1FMSK8DH1LGC57192
,,,2021 Ford Explorer Limited,1FMSK8FH5MGA88485
,,,2021 Ford Explorer Limited,1FMSK8FH4MGB36719
,,,2021 Ford Explorer Limited,1FMSK8FH5MGA96778
,,,2020 Ford Explorer XLT,1FMSK7DH5LGA58222
,,,2017 Ford Explorer XLT 4WD,1FM5K8D8XHGC96884
,,,2020 Ford Explorer XLT,1FMSK8DH0LGB93145
,,,2021 Ford Explorer,1FMSK8DH4MGA00576
,,,2021 Ford Explorer XLT,1FMSK8DH5MGA98632
,,,2020 Ford Explorer ST,1FM5K8GC3LGA05280
,,,2017 Ford Explorer Sport,1FM5K8GT6HGD50410
,,,2022 Ford Explorer XLT 4WD,1FMSK8DH0NGB42229
,,,2022 Ford Explorer XLT,1FMSK8DH1NGA11262
,,,2022 Ford Explorer XLT,1FMSK8DH5NGA17467
,,,2015 Ford Escape SE,1FMCU0G73FUA22737
,,,2019 Ford Escape S,1FMCU0F79KUB96940
,,,2020 Ford Explorer Platinum,1FM5K8HC8LGA50682
,,,2018 Ford EcoSport Titanium,MAJ6P1WL2JC248821
,,,2020 Lincoln Corsair Reserve,5LMCJ2D92LUL04984
,,,2018 Ford Expedition Platinum,1FMJU1MT6JEA50985
,,,2021 Ford Ranger XLT,1FTER4FHXMLD17255
,,,2020 Ford EcoSport SES,MAJ6S3JL3LC357289
,,,2018 Ford Escape S,1FMCU0F78JUB98595
,,,2020 Ford Fusion SE,3FA6P0HD6LR123003
,,,2023 Ford Bronco Raptor,1FMEE5JR7PLB71706
,,,2023 Ford Bronco Sport Heritage,3FMCR9G69PRE11422
,,,2020 Ford Edge SE,2FMPK3G94LBB30053
,,,2020 Ford Edge ST,2FMPK4AP8LBB36404
,,,2021 Ford Edge SE,2FMPK3G96MBA18596
,,,2021 Ford Edge,2FMPK3J91MBA09619
,,,2022 Ford Edge,2FMPK4J92NBA55466
,,,2023 Ford Escape PHEV,1FMCU0E19PUA07935
,,,2022 Ford Escape SE,1FMCU0G60NUB17360
,,,2021 Ford Escape SEL,1FMCU0H69MUB31111
,,,2021 Ford Escape SE,1FMCU0G6XMUA62270
,,,2021 Ford Escape SE,1FMCU0G62MUA98969
,,,2021 Ford Escape SE,1FMCU9G61MUA04004
,,,2021 Ford Escape SE,1FMCU0G62MUA06596
,,,2020 Ford Escape S,1FMCU0F67LUB95052
,,,2020 Ford Escape SEL,1FMCU0H62LUA61563
,,,2020 Ford Escape SE,1FMCU0G61LUB61669
,,,2020 Ford Escape SEL,1FMCU0H69LUB45640
,,,2020 Ford Escape SEL,1FMCU0H69LUA15048
,,,2020 Ford F-150 XLT,1FTFW1E48LKD99260
,,,2020 Ford F-150 King Ranch,1FTEW1E47LFA64205
,,,2020 Ford EcoSport Titanium,MAJ6S3KL3LC322797
,,,2020 Ford F-150 XL,1FTEW1EP9LFC55814
,,,2019 Ford F-150 XLT,1FTEW1E56KKE12350
,,,2020 Ford F-150 XLT,1FTEW1C52LKD26084
,,,2018 Ford Escape S,1FMCU0F73JUC28280
,,,2019 Lincoln Nautilus Reserve,2LMPJ8L97KBL46469
,,,2018 Ford Fusion SE,3FA6P0HD9JR224016
,,,2021 Ford EcoSport S,MAJ3S2FE4MC453215
,,,2020 Ford EcoSport SES,MAJ6S3JLXLC313919
,,,2024 Ford Escape Active,1FMCU0GN5RUA16327
,,,2023 Ford Mustang Mach-E,3FMTK1R42PMA98678
,,,2023 Ford Bronco Big Bend,1FMDE5CH7PLC10651
,,,2023 Ford Bronco Outer Banks,1FMDE5DH4PLC18172
,,,2023 Ford Bronco Wildtrak,1FMEE5DP9PLC10449
,,,2023 Ford Escape Active,1FMCU9GN2PUB45529
,,,2024 Ford Bronco Sport Big Bend,3FMCR9B66RRE00985
,,,2024 Ford Bronco Sport Big Bend,3FMCR9B68RRE00793
,,,2024 Ford Bronco Sport Big Bend,3FMCR9B61RRE06578
,,,2024 Ford Bronco Sport Big Bend,3FMCR9B60RRE23873
,,,2024 Ford Escape Active,1FMCU9GN4RUA09129
,,,2024 Ford Escape Active,1FMCU9GN0RUA34917
,,,2024 Ford Escape Active,1FMCU9GN0RUA15445
,,,2023 Ford Escape ST-Line,1FMCU9MNXPUB32824
,,,2024 Ford Bronco Sport Big Bend,3FMCR9B67RRE03801
,,,2024 Ford Escape ST-Line,1FMCU0MZ0RUA15111
,,,2024 Ford Bronco Sport Big Bend,3FMCR9B68RRE33941
,,,2024 Ford Bronco Sport Big Bend,3FMCR9B65RRE23612
,,,2024 Ford Escape ST-Line,1FMCU9MN0RUA09195
,,,2024 Ford Bronco Sport Outer Banks,3FMCR9C69RRE36409
,,,2024 Ford Edge SE,2FMPK4G98RBA13378
,,,2024 Ford Edge SE,2FMPK4G9XRBA15357
,,,2024 Ford Edge SE,2FMPK4G98RBA32268
,,,2023 Ford Explorer XLT,1FMSK8DH3PGC06962
,,,2023 Ford Explorer XLT,1FMSK8DH9PGC12636
,,,2023 Ford Explorer XLT,1FMSK8DH8PGB91214
,,,2023 Ford Bronco Big Bend,1FMDE5BHXPLC12699
,,,2023 Ford Explorer XLT,1FMSK8DH5PGB64617
,,,2024 Ford Explorer XLT,1FMSK8DH1RGA16998
,,,2024 Ford Explorer XLT,1FMSK8DH5RGA20780
,,,2024 Ford Explorer XLT,1FMSK8DH1RGA22753
,,,2024 Ford Explorer XLT,1FMSK8DH3RGA16792
,,,2024 Ford Mustang GT Premium,1FA6P8CF0R5404796
,,,2023 Ford Mustang Mach-E Select,3FMTK1R43PMA89231
,,,2023 Ford Bronco Black Diamond,1FMEE5DH8PLC09205
,,,2023 Ford Bronco BIG BEND,1FMDE5CH4PLC12714
,,,2023 Ford Transit Cargo Van XL,1FTBR1C84PKC03199
,,,2023 Ford F-150 XL,1FTEW1EP6PFB19176
,,,2023 Ford F-150 XL,1FTEW1EP7PFB15895
,,,2023 Ford Bronco Outer Banks,1FMDE5DH8PLC10270
,,,2024 Ford Explorer Timberline,1FMSK8JH2RGA13385
,,,2023 Ford Bronco Big Bend,1FMDE5DH4PLC10301
,,,2023 Ford Bronco Outer Banks,1FMEE5DP1PLC18898
,,,2023 Ford Bronco Badlands,1FMEE5DH0PLB22169
,,,2023 Ford Explorer Limited,1FMSK8FHXPGB28502
,,,2023 Ford Bronco Badlands,1FMEE5DH2PLC13699
,,,2023 Ford Mustang Mach-E California Route 1,3FMTK2SU0PMA63377
,,,2023 Ford Bronco Badlands,1FMEE5DH5PLC10683
,,,2023 Ford Explorer ST,1FM5K8GC3PGB77377
,,,2023 Ford Explorer ST,1FM5K8GC0PGA70822
,,,2023 Ford Mustang Mach-E California Route 1,3FMTK2SU1PMA84819
,,,2023 Ford F-150 XLT,1FTFW1E86PKF19811
,,,2023 Ford F-150 XLT,1FTFW1E84PKF09004
,,,2024 Ford Explorer ST,1FM5K8GC0RGA08730
,,,2023 Ford F-150 XLT,1FTFW1ED6PFD09277
,,,2024 Ford Explorer ST,1FM5K8GC1RGA11846
,,,2023 Ford Mustang Mach-E GT AWD,3FMTK4SE3PMA37926
,,,2023 Ford Mustang Mach-E GT,3FMTK4SE8PMA57654
,,,2023 Ford Bronco Wildtrak,1FMEE5DP0PLB51114
,,,2023 Ford F-150 XLT,1FTFW1E85PKF54629
,,,2023 Ford Mustang Mach-E Premium,3FMTK3SU3PMA12641
,,,2023 Ford F-150 XLT,1FTFW1E80PFC83505
,,,2023 Ford F-150 Tremor,1FTEW1E80PFB04181
,,,2023 Ford F-150 Lightning Lariat,1FTVW1EV3PWG28138
,,,2023 Ford F-150 Lightning Lariat,1FTVW1EV1PWG61316
,,,2019 Ford EcoSport Titanium,MAJ3S2KE8KC274954
,,,2019 Ford Fusion Hybrid SE,3FA6P0LU8KR241754
,,,2021 Ford EcoSport SE,MAJ3S2GE0MC446356
,,,2020 Ford EcoSport Titanium,MAJ6S3KL3LC353189
,,,2020 Ford Fusion SE,3FA6P0HD4LR264457
,,,2020 Ford Edge SEL,2FMPK4J95LBB29105
,,,2021 Ford Explorer Limited,1FMSK8FH2MGA85284
,,,2021 Ford Explorer Limited,1FMSK8FH9MGB51992
