identifiers,pr,comment,vin
"e886087f430e7fe7|2023-06-16--23-06-36","23331","Focus 19, Zetec, Gasoline 1.0L, Manual","WF0NXXGCHNJR69712"
"83a4e056c7072678/2023-11-13--16-51-33","31145","RyanSD Mach-E 22","3FMTK3SU0MMA25827"
"2fcac3771f8c0ef5|2023-07-02--15-45-47","28792","Explorer 22","1FMSK8DH0NGB42733"
"a4218e6416dfd978|2023-06-29--07-09-59","28744","Escape 21, Titanium, Gasoline 2.0L, Automatic","1FMCU9J94MUA57671"
"0b91b433b9332780|2023-06-05--14-02-57","28494","Lincoln Aviator 20","5LM5J7XC9LGL15606"
"4458bd61cf193dab|2023-05-15--20-41-08--0","28205","Explorer 20 ST","1FM5K8GC7LGA15147"
"bd37e43731e5964b|2023-04-01--15-13-06--0","27781","Maverick 23 Lariat Lux","3FTTW8E31PRA18806"
"1493c38de09a381a|2023-03-05--21-10-07--0","27502","Explorer","1FMSK8FH6LGB17698"
"6cffc47c251aa36c|2023-02-17--18-17-14","27382","Explorer 20 PHEV","1FMCU0EZ0NUB76728"
"debd2ff7dc9ab358|2022-10-31--15-04-08--0","27165","F-150 21","1FTFW1ED6MFC11958"
"f0709d2bc6ca451f|2022-12-10--12-36-59--0","27095","Lincoln Aviator 21","5LM5J7XC8MGL09541"
"933ad9d04ac82693|2023-01-04--17-31-33--0","27098","Maverick 22 XLT","3FTTW8E39NRB00148"
"8e1bab39e558e773|2022-09-16--02-38-57--0","26251","Explorer 22","1FM5K8GC7NGA85105"
"f8eaaccd2a90aef8|2022-09-30--15-42-38--0","26251","Escape 21 Titanium PHEV","1FMCU0LZXMUA80767"
"26b2cace68e36212|2022-10-05--18-55-54--0,2631ea836ece842e|2023-06-14--10-08-06","26251","Escape 20","1FMCU9DZ9LUA82589"
"54827bf84c38b14f|2023-01-23--14-58-23--0","unknown","Bronco Sport 22","3FMCR9B69NRD15990"
"62241b0c7fea4589|2022-10-25--13-40-05--0","unknown","Bronco Sport 21","3FMCR9B61MRA17853"
"a6427650bff6b419|2022-09-19--10-51-30","27093","Maverick 22","3FTTW8E36NRA74219"
"c845bd8c366e6f3d|2022-12-03--18-57-00--0","27093","Maverick 22","3FTTW8F98NRA75889"
"https://twitter.com/Metro_Ford_/status/1749764092741530059","","2022 Ford Explorer XLT","1FMSK8DH1NGA52944"
"https://twitter.com/Metro_Ford_/status/1744329403465691396","","2021 Ford Explorer XLT","1FMSK8DH7MGC46036"
"https://twitter.com/Metro_Ford_/status/1743967011850400131","","2021 Ford Explorer XLT","1FMSK8DH9MGB42406"
"https://twitter.com/Metro_Ford_/status/1743604629244383599","","2022 Ford Explorer XLT","1FMSK8DH4NGA87686"
"https://twitter.com/Metro_Ford_/status/1742879852259094635","","2021 Ford Explorer XLT","1FMSK8DH8MGA39221"
"https://twitter.com/Metro_Ford_/status/1740699238479143257","","2022 Ford Explorer XLT","1FMSK8DH3NGA52377"
"https://twitter.com/Metro_Ford_/status/1719676960152969283","","2020 Ford Explorer XLT","1FMSK8DH1LGB19569"
"https://twitter.com/Metro_Ford_/status/1717496473980485718","","2022 Ford Explorer XLT","1FMSK8DH8NGA60359"
"https://twitter.com/Metro_Ford_/status/1715322126792581495","","2022 Ford Explorer XLT","1FMSK8DH7NGB18820"
"https://twitter.com/Metro_Ford_/status/1714597338482721019","","2020 Ford Explorer XLT","1FMSK8DH9LGB14815"
"https://twitter.com/Metro_Ford_/status/1710973412124872786","","2022 Ford Explorer XLT","1FMSK8DH6NGB18355"
"https://twitter.com/Metro_Ford_/status/1679459448807358465","","2022 Ford Explorer Limited","1FMSK8FH7NGA39693"
"https://twitter.com/AutoworldMiami/status/1674418206314987521","","2023 Ford Explorer Limited RWD","1FMSK7FHXPGA86567"
"https://twitter.com/Metro_Ford_/status/1740336855839641935","","2022 Ford Explorer XLT","1FMSK8DH0NGA71727"
"https://twitter.com/Metro_Ford_/status/1730919948183105877","","2020 Ford Explorer XLT","1FMSK8DH9LGC24909"
"https://twitter.com/meyer_motors/status/1730320974518624720","","2020 Ford Explorer XLT 4WD","1FMSK8DH9LGB63898"
"https://twitter.com/Metro_Ford_/status/1722217456767479944","","2022 Ford Explorer XLT","1FMSK8DH6NGB07064"
"https://twitter.com/Metro_Ford_/status/1721492679379308992","","2022 Ford Explorer XLT","1FMSK8DH9NGB20164"
"https://twitter.com/Metro_Ford_/status/1720767902725386536","","2022 Ford Explorer XLT","1FMSK8DH0NGA52109"
"https://twitter.com/Metro_Ford_/status/1669312597865136128","","2019 Ford Explorer XLT","1FM5K8D83KGA27066"
"https://twitter.com/meyer_motors/status/1659315656641196032","","2021 Ford Explorer Limited 4WD","1FMSK8FH9MGA85086"
"https://twitter.com/Metro_Ford_/status/1659168255636807680","","2020 Ford Explorer XLT","1FMSK8DH1LGB40518"
"https://twitter.com/Metro_Ford_/status/1656993933212147714","","2020 Ford Explorer XLT","1FMSK8DH1LGD04611"
"https://twitter.com/Metro_Ford_/status/1655544377295396865","","2020 Ford Explorer XLT","1FMSK8DHXLGB61691"
"https://twitter.com/Metro_Ford_/status/1643947026504200198","","2020 Ford Explorer XLT","1FMSK8DHXLGA77872"
"https://twitter.com/Metro_Ford_/status/1638145981404577792","","2020 Ford Explorer ST","1FM5K8GC0LGA77814"
"https://twitter.com/Metro_Ford_/status/1628002004969697282","","2021 Ford Explorer Limited","1FMSK8FH2MGB36895"
"https://twitter.com/Metro_Ford_/status/1626552555537854464","","2021 Ford Explorer Limited","1FMSK8FHXMGB54965"
"https://twitter.com/Metro_Ford_/status/1625827745858039809","","2021 Ford Explorer Limited","1FMSK8FH2MGB07817"
"https://twitter.com/Metro_Ford_/status/1614327652420145153","","2021 Ford Explorer Limited","1FMSK8FH8MGB37288"
https://twitter.com/Metro_Ford_/status/1601909939185778690,,2020 Ford Explorer XLT,1FMSK8DH1LGC57192
https://twitter.com/Metro_Ford_/status/1601185424659062784,,2021 Ford Explorer Limited,1FMSK8FH5MGA88485
https://twitter.com/Metro_Ford_/status/1600460640967163904,,2021 Ford Explorer Limited,1FMSK8FH4MGB36719
https://twitter.com/Metro_Ford_/status/1595387097032146947,,2021 Ford Explorer Limited,1FMSK8FH5MGA96778
https://twitter.com/Metro_Ford_/status/1594662251071508482,,2020 Ford Explorer XLT,1FMSK7DH5LGA58222
https://twitter.com/RedwaterDodgeAB/status/1585710102249500672,,2017 Ford Explorer XLT 4WD,1FM5K8D8XHGC96884
https://twitter.com/jessecarsaleskc/status/1580924070887313408,,2020 Ford Explorer XLT,1FMSK8DH0LGB93145
https://twitter.com/MonadnockF/status/1566913330509406210,,2021 Ford Explorer,1FMSK8DH4MGA00576
https://twitter.com/MonadnockF/status/1566224813450055686,,2021 Ford Explorer XLT,1FMSK8DH5MGA98632
https://twitter.com/PkwyCDJR/status/1554112212855246849,,2020 Ford Explorer ST,1FM5K8GC3LGA05280
https://twitter.com/Metro_Ford_/status/1548699399525646336,,2017 Ford Explorer Sport,1FM5K8GT6HGD50410
https://twitter.com/meyer_motors/status/1537094050108645377,,2022 Ford Explorer XLT 4WD,1FMSK8DH0NGB42229
https://twitter.com/esarmarbo1972/status/1477560456239886339,,2022 Ford Explorer XLT,1FMSK8DH1NGA11262
https://twitter.com/SuperAzarapina/status/1464868660225445895,,2022 Ford Explorer XLT,1FMSK8DH5NGA17467
