"No.","Time","Source","Data length [bytes]","Leftover Capture Data","AT Stream","Info"
"77","1.246761","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"79","1.261575","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"87","4.263810","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"89","4.278599","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"91","7.281726","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"93","7.296524","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"95","7.411830","host","11","","ATSH000730\\r","URB_BULK out, Sent AT Command: ATSH000730 "
"97","7.421594","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"99","7.425996","host","9","","ATCRA738\\r","URB_BULK out, Sent AT Command: ATCRA738 "
"101","7.435227","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"103","7.437312","host","7","3232444530300d","","URB_BULK out"
"105","7.451073","1.5.2","12","43414e204552524f520d0d3e","","URB_BULK in"
"107","7.452916","host","7","3232444530300d","","URB_BULK out"
"109","7.479532","1.5.2","32","3031420d303a3632444530304646303030413c5258204552524f520d313a3843","","URB_BULK in"
"111","7.484769","1.5.2","13","3032303030323530303033440d","","URB_BULK in"
"113","7.496540","1.5.2","17","323a34443044434430303030303030300d","","URB_BULK in"
"115","7.503349","1.5.2","17","333a30303030303030303030303030300d","","URB_BULK in"
"117","7.509338","host","1","73","","URB_BULK out"
"119","7.514285","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"121","7.519973","host","7","3232444530300d","","URB_BULK out"
"123","7.543364","1.5.2","19","3031420d303a3632444530304646303030410d","","URB_BULK in"
"125","7.555944","1.5.2","17","313a38433032303030323530303033440d","","URB_BULK in"
"127","7.563118","1.5.2","17","323a34443044434430303030303030300d","","URB_BULK in"
"129","7.578280","1.5.2","17","333a30303030303030303030303030300d","","URB_BULK in"
"131","7.586632","host","1","73","","URB_BULK out"
"133","7.591590","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"135","7.610882","host","7","3232444530310d","","URB_BULK out"
"137","7.639760","1.5.2","32","3031420d303a3632444530314646464646460d313a4646464646464646464646","","URB_BULK in"
"139","7.642737","1.5.2","4","4630300d","","URB_BULK in"
"141","7.656544","1.5.2","17","323a46463030303030303030303030300d","","URB_BULK in"
"143","7.662699","1.5.2","17","333a30303030303030303030303030300d","","URB_BULK in"
"145","7.668332","host","1","73","","URB_BULK out"
"147","7.673336","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"149","7.686533","host","7","3232444530320d","","URB_BULK out"
"151","7.703326","1.5.2","19","3031420d303a3632444530324646464630300d","","URB_BULK in"
"153","7.716125","1.5.2","17","313a30303032303046463030303030300d","","URB_BULK in"
"155","7.722773","1.5.2","17","323a30303030303030303030303030300d","","URB_BULK in"
"157","7.735748","1.5.2","17","333a30303030303030303030303030300d","","URB_BULK in"
"159","7.743453","host","1","73","","URB_BULK out"
"161","7.748585","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"163","7.761776","host","7","3232444530330d","","URB_BULK out"
"165","7.783023","1.5.2","19","3031420d303a3632444530333030303030300d","","URB_BULK in"
"167","7.800810","1.5.2","32","313a30303030303030303030303030300d323a30303030303030303030303030","","URB_BULK in"
"169","7.803314","1.5.2","2","300d","","URB_BULK in"
"171","7.816646","1.5.2","17","333a30303030303030303030303030300d","","URB_BULK in"
"173","7.823277","host","1","73","","URB_BULK out"
"175","7.828458","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"177","7.841471","host","7","3232444530340d","","URB_BULK out"
"179","7.863748","1.5.2","19","3031420d303a3632444530343030303030300d","","URB_BULK in"
"181","7.880231","1.5.2","32","313a30303030303030303030303030300d323a30303030303030303030303030","","URB_BULK in"
"183","7.882685","1.5.2","2","300d","","URB_BULK in"
"185","7.896845","1.5.2","17","333a30303030303030303030303030300d","","URB_BULK in"
"187","7.904642","host","1","73","","URB_BULK out"
"189","7.909700","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"191","7.922359","host","7","3232444530350d","","URB_BULK out"
"193","7.939839","1.5.2","7","3746323233310d","","URB_BULK in"
"195","7.948720","host","1","73","","URB_BULK out"
"197","7.953665","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"199","7.965730","host","7","3232444530360d","","URB_BULK out"
"201","7.980637","1.5.2","7","3746323233310d","","URB_BULK in"
"203","7.989965","host","1","73","","URB_BULK out"
"205","7.994789","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"207","8.007020","host","7","3232444530370d","","URB_BULK out"
"209","8.019887","1.5.2","7","3746323233310d","","URB_BULK in"
"211","8.029164","host","1","73","","URB_BULK out"
"213","8.034064","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"215","8.046256","host","7","3232444530380d","","URB_BULK out"
"217","8.059986","1.5.2","7","3746323233310d","","URB_BULK in"
"219","8.068495","host","1","73","","URB_BULK out"
"221","8.073464","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"223","8.085632","host","7","3232444530390d","","URB_BULK out"
"225","8.099934","1.5.2","7","3746323233310d","","URB_BULK in"
"227","8.107710","host","1","73","","URB_BULK out"
"229","8.112562","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"231","8.124863","host","7","3232444530410d","","URB_BULK out"
"233","8.139859","1.5.2","7","3746323233310d","","URB_BULK in"
"235","8.149043","host","1","73","","URB_BULK out"
"237","8.154035","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"239","8.166021","host","7","3232444530420d","","URB_BULK out"
"241","8.179960","1.5.2","7","3746323233310d","","URB_BULK in"
"243","8.186100","host","1","73","","URB_BULK out"
